timestamp,age,gender,purchase_frequency,purchase_categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart_browsing,cart_completion_frequency,cart_abandonment_factors,saveforlater_frequency,review_left,review_reliability,review_helpfulness,personalized_recommendation_frequency_1,recommendation_helpfulness,rating_accuracy,shopping_satisfaction,service_appreciation,improvement_areas,rating_accuracy_num,customer_reviews_importance_num,recommendation_helpfulness_num,shopping_satisfaction_num,saveforlater_frequency_num,cart_completion_frequency_num,timestamp_parsed,ts_year,ts_month,ts_day,ts_hour,ts_weekday,timestamp_topic_0,timestamp_topic_1,timestamp_topic_2,timestamp_topic_3,timestamp_topic_4,timestamp_topic_5,purchase_categories_topic_0,purchase_categories_topic_1,cart_abandonment_factors_topic_0,cart_abandonment_factors_topic_1,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm
2023/06/04 7:45:33 PM GMT+5:30,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability,3.0,1.0,3.0,2.0,3.0,3.0,2023-06-04 19:45:33-05:30,2023,6,4,19,6,0.033634041755189206,0.033420338589591786,0.033447092649564546,0.8317046877849459,0.03409976825498295,0.033694070965725686,0.18012287240250394,0.8198771275974961,0.1666824542265414,0.8333175457734585,1,-1,0,1
2023/06/04 7:48:31 PM GMT+5:30,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy,3.0,1.0,,1.0,3.0,3.0,2023-06-04 19:48:31-05:30,2023,6,4,19,6,0.03356160838390827,0.033415758414263926,0.292653141543798,0.033492930746446596,0.033954386877601085,0.5729221740339822,0.34140928515267277,0.6585907148473272,0.1250428283408851,0.8749571716591149,1,-1,1,1
2023/06/04 8:00:11 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy,3.0,1.0,,2.0,2.0,3.0,2023-06-04 20:00:11-05:30,2023,6,4,20,6,0.34088200511176614,0.03380554464860582,0.03354168957404818,0.0334574154984113,0.5245719346892997,0.03374141047786861,0.08681563854124834,0.9131843614587517,0.9166431756145149,0.08335682438548504,1,-1,1,1
2023/06/04 8:01:45 PM GMT+5:30,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,2.0,1.0,,2.0,4.0,4.0,2023-06-04 20:01:45-05:30,2023,6,4,20,6,0.03351115694171449,0.03342525836324496,0.033453558627669015,0.42373305753960067,0.4423473830302992,0.033529585497471544,0.6183487466931364,0.3816512533068635,0.9166431756145149,0.08335682438548504,1,-1,1,1
2023/06/04 8:02:28 PM GMT+5:30,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,3.0,1.0,3.0,1.0,5.0,4.0,2023-06-04 20:02:28-05:30,2023,6,4,20,6,0.4022872137701273,0.033416160070485326,0.03344160228503746,0.033479284865161635,0.03374597657069638,0.4636297624384918,0.12735425466632094,0.8726457453336791,0.9166431756145149,0.08335682438548504,1,-1,1,1
2023/06/04 8:20:42 PM GMT+5:30,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability,3.0,1.0,3.0,3.0,3.0,3.0,2023-06-04 20:20:42-05:30,2023,6,4,20,6,0.8318620618735071,0.033590209397610815,0.033528973698633543,0.03359574373716873,0.033820883676437,0.0336021276166429,0.5,0.5,0.1250428283408851,0.8749571716591149,1,-1,0,1
2023/06/04 8:39:53 PM GMT+5:30,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,3.0,1.0,3.0,2.0,1.0,3.0,2023-06-04 20:39:53-05:30,2023,6,4,20,6,0.03371408298253703,0.033520172276627465,0.03350401721114506,0.033456398263523326,0.5095877238981934,0.35621760536797376,0.18012287240250394,0.8198771275974961,0.1666824542265414,0.8333175457734585,1,-1,1,1
2023/06/04 8:45:45 PM GMT+5:30,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,2.0,1.0,,1.0,1.0,3.0,2023-06-04 20:45:45-05:30,2023,6,4,20,6,0.03363404457741119,0.033420340974230286,0.03344709477287536,0.8317046544531556,0.034099790084573076,0.03369407513775454,0.18012287240250394,0.8198771275974961,0.5,0.5,1,-1,0,1
2023/06/04 8:46:02 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness,3.0,1.0,3.0,2.0,2.0,3.0,2023-06-04 20:46:02-05:30,2023,6,4,20,6,0.03350970876159687,0.03340932930720176,0.03346344603686283,0.0334620863450624,0.033758007640818925,0.8323974219084571,0.43227404001093855,0.5677259599890614,0.1250428283408851,0.8749571716591149,1,-1,0,1
2023/06/04 8:48:59 PM GMT+5:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy,3.0,1.0,3.0,2.0,2.0,3.0,2023-06-04 20:48:59-05:30,2023,6,4,20,6,0.03349077049026869,0.03341998157248422,0.03344671609845434,0.0334562948594206,0.51035750889272,0.35582872808665206,0.12735425466632094,0.8726457453336791,0.1666824542265414,0.8333175457734585,1,-1,1,1
